Nilsson (S) <086495>
Kutsenits (SLO) <315210>
Jeep (A) <014750>
Iveco (E) <224650>
Saab (USA) <028040>
Achleitner (A) <010050>
Mitsubishi (USA) <026290>
Opel (J) <177000>
Koenigsegg (S) <085003>
Infiniti (USA) <024542>
VW (USA) <029400>
Pirso(A) <017233>
DFSK (RC) <332257>
Nissan (USA) <026500>
London Taxi International (RC) <335470>
MAN <045700>
Ford (AUS) <293200>
Ford (GB) <053200>
Chrysler (CND) <361820>
Daihatsu (I) <072070>
Opel (GB) <057000>
Mia (F) <066215>
Kutsenits (A) <015210>
London Taxi Intern (GB) <055470>
Secma (F) <068272>
